Traits,What Influences,What Influences JSON
Teamwork & Collaboration,Moon | Venus | Saturn | 11H | 7H,"{""planets"": [""Moon"", ""Venus"", ""Saturn""], ""houses"": [""11H"", ""7H""], ""points"": [], ""signs"": [], ""others"": []}"
Willingness to Learn,Jupiter | Saturn | 5H | 9H,"{""planets"": [""Jupiter"", ""Saturn""], ""houses"": [""5H"", ""9H""], ""points"": [], ""signs"": [], ""others"": []}"
Technical/Digital Literacy,Rahu | Mercury | Saturn | 3H | 6H | 10H | 11H,"{""planets"": [""Rahu"", ""Mercury"", ""Saturn""], ""houses"": [""3H"", ""6H"", ""10H"", ""11H""], ""points"": [], ""signs"": [], ""others"": []}"
Project Management,Saturn | Mercury | Moon | 10H,"{""planets"": [""Saturn"", ""Mercury"", ""Moon""], ""houses"": [""10H""], ""points"": [], ""signs"": [], ""others"": []}"
Data Analysis,Mercury | Saturn | Moon,"{""planets"": [""Mercury"", ""Saturn"", ""Moon""], ""houses"": [], ""points"": [], ""signs"": [], ""others"": []}"
Fairness & Justice,Jupiter | Rahu | 9H | 10H | Libra,"{""planets"": [""Jupiter"", ""Rahu""], ""houses"": [""9H"", ""10H""], ""points"": [], ""signs"": [""Libra""], ""others"": []}"
Generosity (Compensation),Jupiter | Venus | Saturn | 2H | 11H,"{""planets"": [""Jupiter"", ""Venus"", ""Saturn""], ""houses"": [""2H"", ""11H""], ""points"": [], ""signs"": [], ""others"": []}"
Neutrality & Objectivity,Mercury | Saturn | Moon,"{""planets"": [""Mercury"", ""Saturn"", ""Moon""], ""houses"": [], ""points"": [], ""signs"": [], ""others"": []}"
Patience & Tolerance,Saturn | Jupiter | Mars | Moon,"{""planets"": [""Saturn"", ""Jupiter"", ""Mars"", ""Moon""], ""houses"": [], ""points"": [], ""signs"": [], ""others"": []}"
Leadership,Sun | Mars | Saturn | Jupiter | 10H,"{""planets"": [""Sun"", ""Mars"", ""Saturn"", ""Jupiter""], ""houses"": [""10H""], ""points"": [], ""signs"": [], ""others"": []}"
Vision & Direction,Sun | Jupiter | Rahu | 9H | 10H,"{""planets"": [""Sun"", ""Jupiter"", ""Rahu""], ""houses"": [""9H"", ""10H""], ""points"": [], ""signs"": [], ""others"": []}"
Observation & Awareness,Mercury | Moon | Rahu | 3H,"{""planets"": [""Mercury"", ""Moon"", ""Rahu""], ""houses"": [""3H""], ""points"": [], ""signs"": [], ""others"": []}"
Mentorship & Growth,Jupiter | 9H | 5H | 11H,"{""planets"": [""Jupiter""], ""houses"": [""9H"", ""5H"", ""11H""], ""points"": [], ""signs"": [], ""others"": []}"
Curiosity & Inquisitiveness,Mercury | Rahu | Saturn | 3H | 5H | 9H,"{""planets"": [""Mercury"", ""Rahu"", ""Saturn""], ""houses"": [""3H"", ""5H"", ""9H""], ""points"": [], ""signs"": [], ""others"": []}"
Perfectionism & Detail,Mercury | Saturn | 3H | 6H | 10H | Virgo,"{""planets"": [""Mercury"", ""Saturn""], ""houses"": [""3H"", ""6H"", ""10H""], ""points"": [], ""signs"": [""Virgo""], ""others"": []}"
Improvisation & Adaptability,Rahu | Mercury | Saturn,"{""planets"": [""Rahu"", ""Mercury"", ""Saturn""], ""houses"": [], ""points"": [], ""signs"": [], ""others"": []}"
Focus on Well-being,1H | 6H | 12H | Lagna,"{""planets"": [], ""houses"": [""1H"", ""6H"", ""12H""], ""points"": [""Lagna""], ""signs"": [], ""others"": []}"
Business Acumen,Saturn | Jupiter | Mercury | 2H | 11H | 10H,"{""planets"": [""Saturn"", ""Jupiter"", ""Mercury""], ""houses"": [""2H"", ""11H"", ""10H""], ""points"": [], ""signs"": [], ""others"": []}"
Financial Responsibility,Saturn | Jupiter | Rahu | 2H | 11H,"{""planets"": [""Saturn"", ""Jupiter"", ""Rahu""], ""houses"": [""2H"", ""11H""], ""points"": [], ""signs"": [], ""others"": []}"
Work Ethic,Saturn | Mars | 6H | 10H | Lagna,"{""planets"": [""Saturn"", ""Mars""], ""houses"": [""6H"", ""10H""], ""points"": [""Lagna""], ""signs"": [], ""others"": []}"
Leadership Ability,Sun | Mars | Jupiter | 10H | Lagna,"{""planets"": [""Sun"", ""Mars"", ""Jupiter""], ""houses"": [""10H""], ""points"": [""Lagna""], ""signs"": [], ""others"": []}"
Financial Discipline,Saturn | Jupiter | Venus | 2H | 11H,"{""planets"": [""Saturn"", ""Jupiter"", ""Venus""], ""houses"": [""2H"", ""11H""], ""points"": [], ""signs"": [], ""others"": []}"
Wealth Potential,Jupiter | Venus | Saturn | Rahu | 2H | 11H | 9H | 10H,"{""planets"": [""Jupiter"", ""Venus"", ""Saturn"", ""Rahu""], ""houses"": [""2H"", ""11H"", ""9H"", ""10H""], ""points"": [], ""signs"": [], ""others"": []}"
Health & Vitality,Sun | Moon | Mars | Saturn | 1H | 6H | 8H | 12H | Lagna,"{""planets"": [""Sun"", ""Moon"", ""Mars"", ""Saturn""], ""houses"": [""1H"", ""6H"", ""8H"", ""12H""], ""points"": [""Lagna""], ""signs"": [], ""others"": []}"
